Station,lat,long
Connecticut Ave & Yuma St NW,38.947156,-77.065115
8th & D St NW,38.89480383333333,-77.02309100000001
Wilson Blvd. & N. Vermont St.,38.87947660895433,-77.11456328630446
Franklin St & S Washington St,38.798133,-77.0487
St. Asaph & Montgomery St,38.814184999999995,-77.043809
5th & F St NW,38.897222,-77.019347
Columbia Rd & Belmont St NW,38.920669000000004,-77.04368000000001
Montello Ave & Holbrook Terr NE,38.907444,-76.986813
18th & New Hampshire Ave NW,38.911268,-77.041829
Eastern Market Metro / Pennsylvania Ave & 8th St SE,38.884260087971725,-76.99473559856416
Massachusetts Ave & 6th St NE,38.892934000000004,-76.998273
Henry St & Pendleton St,38.811456,-77.050276
4th & D St NW / Judiciary Square,38.895344,-77.01610600000001
39th & Veazey St NW,38.943837,-77.077078
Hamlin & 7th St NE,38.927496999999995,-76.997194
9th & Upshur St NW,38.9418,-77.0251
2nd St & Seaton Pl NE,38.914751108831155,-77.00356006622314
7th & F St NW / National Portrait Gallery,38.89728304853854,-77.0221906900406
Florida Ave & R St NW,38.9126,-77.0135
American University East Campus,38.936298,-77.087128
39th & Calvert St NW / Stoddert,38.922649,-77.077271
Maple & Ritchie Ave,38.983627,-77.006311
Anacostia Metro,38.862671999999996,-76.99466733333334
25th St & Pennsylvania Ave NW,38.903827,-77.053485
Washington Blvd & Walter Reed Dr ,38.873219,-77.082104
Utah St & 11th St N,38.883669,-77.113905
Alabama Ave & Stanton Rd SE / Shops at Park Village,38.846270000000004,-76.98185
18th & L St NW,38.90374145091938,-77.0424520969391
Van Ness Metro / UDC,38.944611,-77.06390016666667
3rd & Tingey St SE,38.875009999999996,-77.0024
C & O Canal & Wisconsin Ave NW,38.90375,-77.06269
Lee Hwy & N Monroe St,38.896456,-77.104562
King St Metro North / Cameron St,38.80704,-77.05981700000001
Convention Center / 7th & M St NW,38.905686333333335,-77.0223755
Battery Ln & Trolley Trail,38.992375,-77.100104
Gravelly Point,38.865029,-77.039511
1st & M St SE,38.876893,-77.006072
10th & E St NW,38.895914000000005,-77.026064
Georgia & New Hampshire Ave NW,38.9366839345886,-77.02418088912964
15th & W St NW,38.9190185,-77.034449
10th & K St NW,38.9024,-77.02622
21st St & Pennsylvania Ave NW,38.9014425,-77.04659000000001
13th & E St SE,38.882915484767615,-76.98790669441223
6th & K St NE,38.903003666666656,-76.99838433333333
8th & O St NW,38.908640000000005,-77.02277
Georgia Ave & Piney Branch Rd NW,38.967504999999996,-77.027976
Yuma St & Tenley Circle NW,38.946182,-77.08059
18th St & Rhode Island Ave NE,38.926957,-76.97895033333333
Lynn St & 19th St North,38.897315,-77.070993
8th & H St NE,38.899835333333336,-76.99477833333333
11th & F St NW,38.897857,-77.026975
1st & K St SE,38.878854378063295,-77.00572729110719
N Lynn St & Fairfax Dr,38.893747,-77.07089383333333
New Hampshire Ave & T St NW,38.915544,-77.038252
4th & E St SW,38.883810833333335,-77.01777299999999
California St & Florida Ave NW,38.917761,-77.04061999999999
Lamont & Mt Pleasant NW,38.9319,-77.0388
Georgia & Missouri Ave NW,38.96145383333333,-77.0278645
Connecticut Ave & R St NW,38.912644,-77.04564
1st & H St NW,38.900358000000004,-77.012108
Smithsonian-National Mall / Jefferson Dr & 12th St SW,38.888774,-77.02869399999999
12th & U St NW,38.916787,-77.028139
1st & K St NE,38.902386,-77.005649
22nd & P ST NW,38.909394,-77.048728
13th St & New York Ave NW,38.900283,-77.029822
Georgia Ave & Emerson St NW,38.949662,-77.027333
17th & K St NW / Farragut Square,38.902060999999996,-77.038322
Metro Center / 12th & G St NW,38.898364,-77.027869
Park Rd & Holmead Pl NW,38.9308,-77.0315
21st & I St NW,38.90071062547464,-77.04644858837128
19th St & Pennsylvania Ave NW,38.9003,-77.0429
Maine Ave & 7th St SW,38.87869359939696,-77.02305436134337
15th & L St NW,38.903649,-77.034918
20th St & Florida Ave NW,38.9154,-77.0446
Sligo Ave & Carroll Ln,38.99091833333333,-77.016274
12th St & Pennsylvania Ave SE,38.882489,-76.990121
22nd & I St NW / Foggy Bottom,38.90088,-77.048911
Potomac & Pennsylvania Ave SE,38.8803,-76.9862
5th & Kennedy St NW,38.95655554772196,-77.01981425285341
New Jersey Ave & N St NW/Dunbar HS,38.90733256111448,-77.01536044478415
East West Hwy & Blair Mill Rd,38.990249,-77.02935
21st St & Constitution Ave NW,38.892459,-77.04656700000001
Rosslyn Metro / Wilson Blvd & Ft Myer Dr,38.8946,-77.072305
Mt Vernon Trail & S. Washington St.,38.793035499999995,-77.04929616666666
W Broad St & Little Falls St,38.883601,-77.173438
Constitution Ave & 2nd St NW/DOL,38.892275,-77.013917
Ballston Metro / Stuart St & 9th St N,38.881044,-77.11176800000001
Old Georgetown Rd & Southwick St,38.999634,-77.109647
34th St & Wisconsin Ave NW,38.916441999999996,-77.0682
17th & K St NW,38.90286833333333,-77.038635
48th Pl & MacArthur Blvd NW,38.917035999999996,-77.095782
New Hampshire Ave & Ward Pl NW,38.90571079190728,-77.04731762409209
34th & Water St NW,38.9037315,-77.06752850000001
20th & E St NW,38.8963,-77.045
Potomac Ave & 35th St S,38.844015,-77.050537
Roosevelt Island,38.896553000000004,-77.06714000000001
Mount Vernon Ave & E Del Ray Ave,38.82595,-77.058541
Columbus Circle / Union Station,38.89696,-77.00493
L'Enfant Plaza / 7th & C St SW,38.886266,-77.02224100000001
21st St & G st NW,38.898308,-77.046402
Columbia Pike & S Courthouse Rd,38.863833,-77.08031899999999
1st & D St SE,38.884916,-77.005965
Wisconsin Ave & Newark St NW,38.93493133333333,-77.07286716666667
Good Hope Rd & MLK Ave SE,38.867373,-76.988039
Pentagon City Metro / 12th St & S Hayes St,38.862303000000004,-77.059936
1st & M St NE,38.905696999999996,-77.005483
Fenton St & Ellsworth Dr ,38.997033,-77.02560799999999
Lee Hwy & N Scott St,38.897612,-77.080851
John McCormack Dr & Michigan Ave NE,38.9346,-76.9955
Madison St & Fairfax St,38.812351,-77.04069100000001
Potomac Ave & Swann Ave,38.829545,-77.047844
Eads St & 22nd St S,38.854380515177496,-77.05341160297394
St Asaph & Pendleton St,38.81074147938705,-77.04463273286821
Monroe Ave & Leslie Ave,38.820932,-77.053096
Mount Vernon Ave & Kennedy St,38.833077,-77.059821
Potomac Ave & Main Line Blvd,38.822738,-77.049265
Commerce St & Fayette St,38.805648,-77.05293
Mount Vernon Ave & Bruce St,38.841265166666666,-77.063019
15th St & Constitution Ave NW,38.892244,-77.033234
Mount Vernon Ave & E Nelson Ave,38.820064,-77.05761899999999
Carroll & Ethan Allen Ave,38.977956166666665,-77.0062955
Potomac Greens Dr & Slaters Ln,38.82175,-77.047494
M St & New Jersey Ave SE,38.8763,-77.0037
11th & Kenyon St NW,38.929464,-77.027822
8th & F St NE,38.897273999999996,-76.994749
4th & East Capitol St NE,38.889995166666665,-77.0003325
37th & O St NW / Georgetown University,38.907821166666665,-77.07161116666667
13th & H St NE,38.90042673988099,-76.98825001716614
15th & F St NE,38.897195,-76.983575
8th & H St NW,38.8997,-77.02308599999999
Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,38.88412,-77.04656999999999
4th & C St SW,38.88637194054526,-77.01770067214966
15th St & Massachusetts Ave SE,38.8873205,-76.9835505
3rd & D St SE,38.8851,-77.0023
13th & D St NE,38.89487233333333,-76.9877015
6th & H St NE,38.899972,-76.998347
11th & H St NE,38.899983,-76.991383
4th St & K St NW,38.902219,-77.01606133333334
North Capitol St & G Pl NE,38.899703,-77.008911
King St & Patrick St,38.805316999999995,-77.049883
Kingman Island/The Fields at RFK,38.895954557007535,-76.9678448436025
Chillum Rd & Riggs Rd / Riggs Plaza,38.961737,-76.995922
N Veitch St & 20th St N,38.896923,-77.086502
2nd & G St NE,38.89967,-77.00366600000001
14th & L St NW,38.903773,-77.03179033333333
George Mason Dr & Wilson Blvd,38.87887,-77.1207
Westover Library / Washington Blvd & N McKinley Rd,38.886014,-77.1422615
Town Center Pkwy & Sunset Hills Rd,38.955170598044894,-77.3630940914154
Glebe Rd & 11th St N,38.883921,-77.116817
US Dept of State / Virginia Ave & 21st St NW,38.894919,-77.046587
Wilson Blvd & N Uhle St,38.891696,-77.0846
Jefferson Dr & 14th St SW,38.8885525,-77.032427
Braddock Rd Metro,38.814577,-77.052808
4th & M St SE,38.876751,-77.000736
Takoma Metro,38.975219,-77.016855
Carroll & Westmoreland Ave,38.975,-77.01120999999999
New York Ave & 15th St NW,38.89903234416315,-77.03335404396056
Connecticut & Nebraska Ave NW,38.9550005,-77.07001266666667
5th & K St NW,38.903040000000004,-77.01902700000001
Tenleytown / Wisconsin Ave & Albemarle St NW,38.947607,-77.079382
Fort Totten Metro,38.95238033333333,-77.00262833333333
Lee Hwy & N Cleveland St,38.894940999999996,-77.09169
15th & Euclid St  NW,38.92333,-77.0352
N. Beauregard St. & Berkley St.,38.840796999999995,-77.108938
GMU / Fairfax Dr & Kenmore St,38.884615999999994,-77.10108000000001
S Maple Ave & S Washington St,38.87975516666667,-77.178341
24th & N St NW,38.9066,-77.05152
Adams Mill & Columbia Rd NW,38.922925,-77.04258100000001
E Fairfax St & S Washington St,38.880612,-77.171891
USDA / 12th & C St SW,38.886276945065106,-77.02824175357819
18th & R St NW,38.912648,-77.041834
West Falls Church Metro,38.9001,-77.1887
Wisconsin Ave & Ingomar St NW,38.958267,-77.084636
Wakefield High School,38.847129045742605,-77.1125502884388
Friendship Blvd & Willard Ave,38.96119083333333,-77.08864983333333
Madison St & N Henry St,38.813485,-77.049468
Hains Point/Buckeye & Ohio Dr SW,38.878433,-77.03023
Ward Circle / American University,38.938736,-77.087171
North Capitol St & F St NW,38.897446,-77.009888
Potomac Ave & 8th St SE,38.876737,-76.99446800000001
Army Navy Dr & S Nash St,38.862150245214906,-77.06812083721161
W Columbia St & N Washington St,38.88567616666667,-77.16688416666666
Clarendon Blvd & Pierce St,38.893438,-77.076389
S Arlington Mill Dr & Campbell Ave,38.84232,-77.089555
Georgia Ave & Morton St NW,38.932128000000006,-77.0235
11th & Girard St NW,38.925636,-77.027112
14th St & New York Ave NW,38.899632000000004,-77.031686
Rhode Island Ave & V St NE,38.918155,-77.004746
10th St & Constitution Ave NW,38.893028,-77.026013
Virginia Square Metro / Monroe St & 9th St N,38.882788,-77.103148
Columbia & Ontario Rd NW,38.924088,-77.040787
7th & K St NW,38.902674,-77.021392
Maine Ave & 9th St SW,38.88044,-77.02523599999999
10th & G St NW,38.89824328774852,-77.02623546123505
Independence Ave & L'Enfant Plaza SW/DOE,38.887312,-77.025762
4th & M St SW,38.876697,-77.0178975
8th & K St NE,38.90273216425078,-76.99514991079924
Neal St & Trinidad Ave NE,38.903732,-76.987211
17th St & Massachusetts Ave NW,38.908142,-77.038359
Good Hope Rd & 14th St SE,38.866611,-76.985238
1st & S Capitol St SE / Oxon Run Trail,38.824481,-77.00549699999999
15th & M St NW,38.905424,-77.034674
Royal St & Wilkes St,38.799267,-77.0447
Commonwealth Ave & Oak St,38.812711,-77.061715
3rd & M St NE,38.90550966666667,-77.00219833333334
10th & U St NW,38.9172,-77.0259
Jefferson Memorial,38.879819,-77.037413
1st & Washington Hospital Center NW,38.92875683333333,-77.01232283333333
14th & G St NW,38.898409,-77.032278
7th St & Massachusetts Ave NE,38.89222,-76.99602
Ballenger Ave & Dulaney St,38.802677,-77.063562
11th & M St NW,38.9055785,-77.027313
13th & U St NW,38.91663833333333,-77.0296485
11th & C St SE,38.885908,-76.991476
New Hampshire & Gallatin St NW,38.951596,-77.01280799999999
The Mall at Prince Georges,38.968841999999995,-76.954171
Edgewood Rec Center,38.923952166666666,-77.00214216666667
Calvert St & Woodley Pl NW,38.923583,-77.050046
Crystal Dr & 23rd St S,38.8533,-77.0498
12th & Newton St NE,38.933668,-76.991016
Four Mile Run Dr & S Shirlington Rd,38.8444,-77.085931
Grant Circle,38.942024743273045,-77.01822102069855
Connecticut Ave & Tilden St NW,38.94113915653008,-77.061977237463
Georgia Ave & Spring St,38.999382833333335,-77.03148933333334
20th & O St NW / Dupont South,38.90876283333333,-77.0450675
Potomac & M St NW,38.905368,-77.065149
North Capitol & R St NE,38.91252116666666,-77.00881566666666
Calvert & Biltmore St NW,38.923203,-77.047637
Union Market,38.9079625,-76.99701999999999
Columbia Rd & Georgia Ave NW,38.92812111132096,-77.02379465103151
New Hampshire Ave & 24th St NW,38.901755,-77.051084
16th & Irving St NW,38.928893,-77.03625
14th St & Colorado Ave NW,38.95641116666667,-77.03296999999999
New Jersey Ave & R St NW,38.912659000000005,-77.017669
15th & East Capitol St NE,38.889900833333336,-76.98347733333334
12th & Irving St NE,38.928644,-76.990955
14th & Newton St NW,38.931991,-77.032956
19th & G St NW,38.898358,-77.04351966666667
14th & Girard St NW,38.925284000000005,-77.032375
16th & R St NW,38.912652,-77.036278
Connecticut Ave & Newark St NW / Cleveland Park,38.934267,-77.057979
Kansas Ave & Sherman Cr NW,38.94796174822241,-77.02154964208603
3000 Connecticut Ave NW / National Zoo,38.93034416666666,-77.0556065
Broad Branch Rd & Northampton St NW,38.965818166666665,-77.06859666666666
22nd & H St NW,38.898925,-77.048852
Wilson Blvd & N Illinois St ,38.876528,-77.12711999999999
Woodglen Dr & Executive Blvd,39.04317,-77.1135
Georgia Ave and Fairmont St NW,38.9249,-77.0222
