"QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","MKT_CARRIER_FL_NUM","OP_UNIQUE_CARRIER","OP_CARRIER_AIRLINE_ID","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW",
2,6,1,6,2019-06-01,"1027","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1806",24.00,24.00,
2,6,1,6,2019-06-01,"1326","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","2002",6.00,6.00,
2,6,1,6,2019-06-01,"1426","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","0533",-7.00,0.00,
2,6,1,6,2019-06-01,"1526","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1545",-13.00,0.00,
2,6,1,6,2019-06-01,"1927","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1340",-11.00,0.00,
2,6,1,6,2019-06-01,"2127","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1128",17.00,17.00,
2,6,2,7,2019-06-02,"126","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1305",-10.00,0.00,
2,6,2,7,2019-06-02,"427","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","0850",-7.00,0.00,
2,6,2,7,2019-06-02,"626","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1053",-12.00,0.00,
2,6,2,7,2019-06-02,"727","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","0542",-3.00,0.00,
2,6,2,7,2019-06-02,"1027","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1823",41.00,41.00,
2,6,2,7,2019-06-02,"1226","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","0809",15.00,15.00,
2,6,2,7,2019-06-02,"1326","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","2036",40.00,40.00,
2,6,2,7,2019-06-02,"1427","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","2232",15.00,15.00,
2,6,2,7,2019-06-02,"1526","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1601",3.00,3.00,
2,6,2,7,2019-06-02,"1927","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1401",10.00,10.00,
2,6,2,7,2019-06-02,"2127","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1111",0.00,0.00,
2,6,3,1,2019-06-03,"126","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1311",-4.00,0.00,
2,6,3,1,2019-06-03,"427","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","0938",41.00,41.00,
2,6,3,1,2019-06-03,"626","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1155",50.00,50.00,
2,6,3,1,2019-06-03,"727","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","0538",-7.00,0.00,
2,6,3,1,2019-06-03,"1027","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1732",-10.00,0.00,
2,6,3,1,2019-06-03,"1226","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","0811",17.00,17.00,
2,6,3,1,2019-06-03,"1326","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1949",-7.00,0.00,
2,6,3,1,2019-06-03,"1426","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","0527",-13.00,0.00,
2,6,3,1,2019-06-03,"1427","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","2256",39.00,39.00,
2,6,3,1,2019-06-03,"1526","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1626",28.00,28.00,
2,6,3,1,2019-06-03,"1927","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1349",-2.00,0.00,
2,6,3,1,2019-06-03,"2127","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1102",-9.00,0.00,
2,6,4,2,2019-06-04,"126","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1256",-19.00,0.00,
2,6,4,2,2019-06-04,"427","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","0852",-5.00,0.00,
2,6,4,2,2019-06-04,"626","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1053",-12.00,0.00,
2,6,4,2,2019-06-04,"727","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","0539",-6.00,0.00,
2,6,4,2,2019-06-04,"1027","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1732",-10.00,0.00,
2,6,4,2,2019-06-04,"1226","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","0742",-12.00,0.00,
2,6,4,2,2019-06-04,"1326","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1945",-11.00,0.00,
2,6,4,2,2019-06-04,"1426","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","0532",-8.00,0.00,
2,6,4,2,2019-06-04,"1427","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","2216",-1.00,0.00,
2,6,4,2,2019-06-04,"1526","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1540",-18.00,0.00,
2,6,4,2,2019-06-04,"1927","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1338",-13.00,0.00,
2,6,4,2,2019-06-04,"2127","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1102",-9.00,0.00,
2,6,5,3,2019-06-05,"126","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1314",-1.00,0.00,
2,6,5,3,2019-06-05,"427","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","0847",-10.00,0.00,
2,6,5,3,2019-06-05,"626","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1057",-8.00,0.00,
2,6,5,3,2019-06-05,"727","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","0539",-6.00,0.00,
2,6,5,3,2019-06-05,"1027","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1732",-10.00,0.00,
2,6,5,3,2019-06-05,"1226","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","0746",-8.00,0.00,
2,6,5,3,2019-06-05,"1326","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1941",-15.00,0.00,
2,6,5,3,2019-06-05,"1426","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","0533",-7.00,0.00,
2,6,5,3,2019-06-05,"1427","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","2256",39.00,39.00,
2,6,5,3,2019-06-05,"1526","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1731",93.00,93.00,
2,6,5,3,2019-06-05,"1927","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1427",36.00,36.00,
2,6,5,3,2019-06-05,"2127","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1104",-7.00,0.00,
2,6,6,4,2019-06-06,"126","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1306",-9.00,0.00,
2,6,6,4,2019-06-06,"427","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","0853",-4.00,0.00,
2,6,6,4,2019-06-06,"626","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1053",-12.00,0.00,
2,6,6,4,2019-06-06,"727","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","0534",-11.00,0.00,
2,6,6,4,2019-06-06,"1027","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1758",16.00,16.00,
2,6,6,4,2019-06-06,"1226","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","0739",-15.00,0.00,
2,6,6,4,2019-06-06,"1326","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1956",0.00,0.00,
2,6,6,4,2019-06-06,"1426","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","0525",-15.00,0.00,
2,6,6,4,2019-06-06,"1427","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","2337",80.00,80.00,
2,6,6,4,2019-06-06,"1526","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1647",49.00,49.00,
2,6,6,4,2019-06-06,"1927","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1444",53.00,53.00,
