Row,Date,Flight Number,Destination,Delay
0,6/1/19,1326,BOS,6.0
1,6/1/19,1426,BOS,-7.0
2,6/1/19,1526,BOS,-13.0
3,6/2/19,126,BOS,-10.0
4,6/2/19,626,BOS,-12.0
5,6/2/19,1226,BOS,15.0
6,6/2/19,1326,BOS,40.0
7,6/2/19,1526,BOS,3.0
8,6/3/19,126,BOS,-4.0
9,6/3/19,626,BOS,50.0
10,6/3/19,1226,BOS,17.0
11,6/3/19,1326,BOS,-7.0
12,6/3/19,1426,BOS,-13.0
13,6/3/19,1526,BOS,28.0
14,6/4/19,126,BOS,-19.0
15,6/4/19,626,BOS,-12.0
16,6/4/19,1226,BOS,-12.0
17,6/4/19,1326,BOS,-11.0
18,6/4/19,1426,BOS,-8.0
19,6/4/19,1526,BOS,-18.0
20,6/5/19,126,BOS,-1.0
21,6/5/19,626,BOS,-8.0
22,6/5/19,1226,BOS,-8.0
23,6/5/19,1326,BOS,-15.0
24,6/5/19,1426,BOS,-7.0
25,6/5/19,1526,BOS,93.0
26,6/6/19,126,BOS,-9.0
27,6/6/19,626,BOS,-12.0
28,6/6/19,1226,BOS,-15.0
29,6/6/19,1326,BOS,0.0
30,6/6/19,1426,BOS,-15.0
31,6/6/19,1526,BOS,49.0
32,6/7/19,126,BOS,17.0
33,6/7/19,626,BOS,-5.0
34,6/7/19,1226,BOS,-10.0
35,6/7/19,1326,BOS,5.0
36,6/7/19,1426,BOS,-9.0
37,6/7/19,1526,BOS,-8.0
38,6/8/19,126,BOS,-13.0
39,6/18/19,1451,MSP,-6.0
40,6/18/19,1637,DTW,-1.0
41,6/18/19,1737,DTW,0.0
42,6/18/19,1860,ATL,-1.0
43,6/18/19,1906,DTW,19.0
44,6/18/19,1937,DTW,-1.0
45,6/18/19,1970,DTW,28.0
46,6/18/19,2525,ATL,10.0
47,6/18/19,2572,ATL,12.0
48,6/18/19,2608,ATL,-3.0
49,6/18/19,2613,ATL,119.0
50,6/18/19,2641,ATL,-1.0
51,6/18/19,2834,ATL,-2.0
52,6/19/19,346,SLC,0.0
53,6/19/19,875,ATL,100.0
54,6/19/19,880,MSP,-1.0
55,6/19/19,1153,ATL,36.0
56,6/19/19,1170,SLC,-4.0
57,6/19/19,1271,ATL,0.0
58,6/19/19,1299,MSP,62.0
59,6/19/19,1301,MSP,-2.0
60,6/19/19,1339,ATL,-3.0
61,6/19/19,1425,ATL,-3.0
62,6/19/19,1451,MSP,-3.0
63,6/19/19,1637,DTW,32.0
64,6/19/19,1737,DTW,-1.0
65,6/19/19,1860,ATL,-7.0
66,6/19/19,1906,DTW,22.0
67,6/19/19,1937,DTW,0.0
68,6/19/19,1970,DTW,-3.0
69,6/19/19,2525,ATL,-3.0
70,6/19/19,2572,ATL,2.0
71,6/19/19,2608,ATL,5.0
72,6/19/19,2613,ATL,112.0
73,6/19/19,2641,ATL,19.0
74,6/25/19,875,ATL,-8.0
75,6/25/19,880,MSP,-1.0
76,6/25/19,1153,ATL,12.0
77,6/25/19,1170,SLC,-4.0
78,6/25/19,1271,ATL,1.0
79,6/25/19,1299,MSP,-3.0
80,6/25/19,1301,MSP,-5.0
81,6/25/19,1339,ATL,10.0
82,6/25/19,1425,ATL,-2.0
83,6/25/19,1451,MSP,26.0
84,6/15/19,1737,DTW,-7.0
85,6/15/19,1906,DTW,-5.0
86,6/15/19,1937,DTW,6.0
87,6/15/19,1970,DTW,0.0
88,6/15/19,2525,ATL,-3.0
89,6/15/19,2572,ATL,-4.0
90,6/15/19,2608,ATL,-9.0
91,6/15/19,2613,ATL,-3.0
92,6/15/19,2641,ATL,-3.0
93,6/15/19,2834,ATL,-4.0
94,6/16/19,346,SLC,-2.0
95,6/16/19,875,ATL,2.0
96,6/16/19,880,MSP,-2.0
97,6/16/19,1153,ATL,14.0
98,6/16/19,1170,SLC,1.0
99,6/16/19,1271,ATL,28.0
100,6/16/19,1299,MSP,-6.0
101,6/16/19,1301,MSP,0.0
102,6/16/19,1339,ATL,0.0
103,6/16/19,1425,ATL,96.0
104,6/16/19,1451,MSP,1.0
105,6/16/19,1637,DTW,24.0
106,6/16/19,1860,ATL,10.0
107,6/16/19,1906,DTW,0.0
108,6/16/19,1937,DTW,3.0
109,6/16/19,1970,DTW,15.0
110,6/16/19,2525,ATL,-3.0
111,6/16/19,2572,ATL,11.0
112,6/16/19,2608,ATL,-4.0
113,6/16/19,2613,ATL,30.0
114,6/16/19,2641,ATL,5.0
115,6/17/19,346,SLC,-5.0
116,6/17/19,875,ATL,94.0
117,6/17/19,880,MSP,-4.0
118,6/17/19,1153,ATL,32.0
119,6/17/19,1170,SLC,-3.0
120,6/17/19,1271,ATL,250.0
121,6/17/19,1299,MSP,1.0
122,6/17/19,1301,MSP,0.0
123,6/30/19,2092,IAH,-4.0
124,6/30/19,1719,ORD,-6.0
125,6/30/19,1675,SFO,-6.0
126,6/30/19,1411,IAH,-1.0
127,6/30/19,723,LAX,-6.0
128,6/30/19,716,DEN,88.0
129,6/30/19,635,ORD,-4.0
130,6/30/19,566,ORD,-6.0
131,6/30/19,473,ORD,193.0
132,6/30/19,270,DEN,-3.0
133,6/29/19,2092,IAH,-4.0
134,6/29/19,1719,ORD,-3.0
135,6/29/19,1675,SFO,-7.0
136,6/29/19,723,LAX,-3.0
137,6/29/19,716,DEN,-9.0
138,6/29/19,635,ORD,0.0
139,6/29/19,566,ORD,108.0
140,6/29/19,270,DEN,-2.0
141,6/28/19,2092,IAH,-5.0
142,6/28/19,2059,SFO,48.0
143,6/28/19,1719,ORD,-8.0
144,6/28/19,1675,SFO,8.0
145,6/28/19,1411,IAH,139.0
146,6/28/19,723,LAX,-2.0
147,6/28/19,716,DEN,55.0
148,6/28/19,635,ORD,-2.0
149,6/28/19,566,ORD,-4.0
150,6/28/19,473,ORD,-6.0
151,6/28/19,270,DEN,-5.0
152,6/27/19,2092,IAH,0.0
153,6/25/19,1719,ORD,1.0
154,6/25/19,1675,SFO,4.0
155,6/25/19,1411,IAH,1.0
156,6/25/19,723,LAX,1.0
157,6/25/19,716,DEN,136.0
158,6/25/19,635,ORD,-2.0
159,6/25/19,566,ORD,-4.0
160,6/25/19,473,ORD,65.0
161,6/25/19,270,DEN,0.0
162,6/24/19,2092,IAH,-3.0
163,6/24/19,2059,SFO,4.0
164,6/24/19,1719,ORD,4.0
165,6/24/19,1675,SFO,-7.0
166,6/24/19,1411,IAH,-1.0
167,6/24/19,723,LAX,-5.0
168,6/24/19,716,DEN,11.0
169,6/24/19,635,ORD,-4.0
170,6/24/19,566,ORD,-6.0
171,6/24/19,473,ORD,64.0
172,6/24/19,270,DEN,-4.0
173,6/23/19,2092,IAH,-3.0
174,6/23/19,1719,ORD,5.0
175,6/23/19,1675,SFO,1.0
176,6/12/19,723,LAX,-4.0
177,6/12/19,635,ORD,50.0
178,6/12/19,614,DEN,1.0
179,6/12/19,566,ORD,-4.0
180,6/12/19,473,ORD,88.0
181,6/12/19,270,DEN,7.0
182,6/11/19,2092,IAH,-5.0
183,6/11/19,2059,SFO,-9.0
184,6/11/19,1719,ORD,-8.0
185,6/11/19,1675,SFO,1.0
186,6/11/19,1411,IAH,17.0
187,6/25/19,327,SFO,-8.0
188,6/25/19,377,SAN,5.0
189,6/25/19,385,PDX,9.0
190,6/25/19,524,SEA,8.0
191,6/25/19,739,LAX,10.0
192,6/25/19,765,SEA,-11.0
193,6/26/19,327,SFO,12.0
194,6/26/19,377,SAN,4.0
195,6/26/19,385,PDX,-6.0
196,6/26/19,524,SEA,-5.0
197,6/26/19,739,LAX,-7.0
198,6/26/19,765,SEA,-3.0
199,6/27/19,327,SFO,13.0
200,6/27/19,377,SAN,-1.0
201,6/27/19,385,PDX,3.0
202,6/27/19,524,SEA,10.0
203,6/27/19,739,LAX,-6.0
204,6/27/19,765,SEA,15.0
205,6/28/19,327,SFO,28.0
206,6/28/19,377,SAN,13.0
207,6/28/19,385,PDX,39.0
208,6/28/19,524,SEA,10.0
209,6/28/19,739,LAX,-2.0
210,6/28/19,765,SEA,82.0
211,6/29/19,327,SFO,31.0
212,6/29/19,377,SAN,12.0
213,6/29/19,385,PDX,12.0
214,6/29/19,524,SEA,22.0
215,6/29/19,739,LAX,95.0
216,6/29/19,765,SEA,36.0
217,6/30/19,327,SFO,154.0
218,6/30/19,377,SAN,47.0
219,6/30/19,385,PDX,35.0
220,6/30/19,524,SEA,56.0
221,6/30/19,739,LAX,13.0
222,6/30/19,765,SEA,-5.0
223,6/21/19,3241,ORD,-5.0
224,6/23/19,3241,ORD,43.0
225,6/25/19,3241,ORD,-7.0
226,6/26/19,3241,ORD,-2.0
227,6/3/19,936,ABQ,0.0
228,6/3/19,375,ALB,66.0
229,6/3/19,1579,ALB,0.0
230,6/3/19,2233,ALB,-6.0
231,6/3/19,6511,ALB,-5.0
232,6/3/19,777,ATL,11.0
233,6/3/19,956,ATL,17.0
234,6/3/19,1849,ATL,-3.0
235,6/3/19,2184,ATL,-1.0
236,6/3/19,993,AUS,161.0
237,6/3/19,1440,AUS,10.0
238,6/3/19,1535,AUS,31.0
239,6/3/19,344,BDL,18.0
240,6/3/19,426,BDL,-7.0
241,6/3/19,429,BDL,-1.0
242,6/3/19,663,BDL,5.0
243,6/3/19,1573,BDL,-6.0
244,6/3/19,1580,BDL,2.0
245,6/3/19,460,BHM,4.0
246,6/3/19,333,BNA,-4.0
247,6/3/19,477,BNA,86.0
248,6/3/19,1474,BNA,29.0
249,6/3/19,1586,BNA,34.0
250,6/3/19,1596,BNA,3.0
251,6/3/19,2168,BNA,186.0
252,6/3/19,16,BOS,159.0
253,6/3/19,749,BOS,127.0
254,6/3/19,796,BOS,-4.0
255,6/3/19,1114,BOS,12.0
256,6/3/19,1366,BOS,48.0
257,6/3/19,1564,BOS,-1.0
258,6/3/19,1875,BOS,30.0
259,6/3/19,2113,BOS,-3.0
260,6/3/19,2259,BOS,-3.0
261,6/3/19,606,BUF,-2.0
262,6/3/19,1243,BUF,-2.0
263,6/3/19,1595,BUF,-5.0
264,6/3/19,1689,BUF,-1.0
265,6/3/19,1872,BUF,-8.0
266,6/3/19,6573,BUF,13.0
267,6/3/19,282,CHS,-6.0
268,6/3/19,2029,CHS,75.0
269,6/3/19,2260,CHS,147.0
270,6/3/19,1017,CLE,12.0
271,6/3/19,1468,CLE,-9.0
272,6/3/19,1547,CLE,-3.0
273,6/3/19,617,CLT,-5.0
274,6/3/19,784,CLT,31.0
275,6/3/19,2148,CLT,-2.0
276,6/3/19,500,CMH,-4.0
277,6/3/19,541,CMH,4.0
278,6/3/19,1489,CMH,-1.0
279,6/3/19,2211,CMH,10.0
280,6/3/19,179,CVG,-5.0
281,6/3/19,764,CVG,-7.0
282,6/3/19,2084,CVG,3.0
283,6/3/19,339,DAL,-1.0
284,6/3/19,639,DAL,-2.0
285,6/3/19,2123,DAL,5.0
286,6/3/19,2235,DAL,18.0
287,6/3/19,3,DEN,117.0
288,6/3/19,1432,DEN,48.0
289,6/3/19,2083,DEN,62.0
290,6/3/19,2276,DEN,17.0
291,6/3/19,736,DTW,-8.0
292,6/3/19,2046,DTW,27.0
293,6/3/19,2283,DTW,-1.0
294,6/3/19,571,ECP,10.0
295,6/3/19,493,FLL,7.0
296,6/3/19,516,FLL,-1.0
297,6/3/19,1123,FLL,-2.0
298,6/3/19,1912,FLL,0.0
299,6/3/19,2050,FLL,0.0
300,6/3/19,572,GRR,-2.0
301,6/3/19,948,HOU,-3.0
302,6/3/19,1086,HOU,-1.0
303,6/3/19,1091,HOU,-2.0
304,6/3/19,1651,HOU,-2.0
305,6/3/19,425,IND,9.0
306,6/3/19,1436,IND,-1.0
307,6/3/19,2284,IND,121.0
308,6/3/19,1143,ISP,26.0
309,6/3/19,1485,ISP,0.0
310,6/3/19,1698,ISP,26.0
311,6/3/19,1948,ISP,112.0
312,6/3/19,2102,JAX,-5.0
313,6/3/19,2202,JAX,-2.0
314,6/3/19,3090,JAX,56.0
315,6/3/19,5200,JAX,-8.0
316,6/3/19,254,LAS,-1.0
317,6/3/19,779,LAS,0.0
318,6/3/19,937,LAS,-2.0
319,6/3/19,938,LAS,77.0
320,6/3/19,2286,LAS,4.0
321,6/3/19,6,LAX,5.0
322,6/3/19,1462,LAX,16.0
323,6/3/19,2232,LAX,0.0
324,6/3/19,444,MCI,82.0
325,6/3/19,1548,MCI,-7.0
326,6/3/19,2254,MCI,12.0
327,6/3/19,1130,MCO,-6.0
328,6/3/19,1565,MCO,-4.0
329,6/3/19,1578,MCO,1.0
330,6/3/19,1647,MCO,-4.0
331,6/3/19,1955,MCO,-9.0
332,6/3/19,1992,MCO,-4.0
333,6/3/19,4133,MCO,8.0
334,6/3/19,244,MDW,1.0
335,6/3/19,397,MDW,-2.0
336,6/3/19,558,MDW,-5.0
337,6/3/19,1862,MDW,9.0
338,6/3/19,2045,MDW,1.0
339,6/3/19,2166,MDW,2.0
340,6/3/19,2226,MDW,40.0
341,6/3/19,2175,MEM,26.0
342,6/3/19,2194,MEM,-4.0
343,6/3/19,27,MHT,6.0
344,6/3/19,700,MHT,23.0
345,6/3/19,1783,MHT,-4.0
346,6/3/19,2128,MHT,0.0
